"userId","roomId","studyId","gMO","discussionId","reciept","curr","message","round"
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",105,"2-0","l","2014-07-24 12:35:39","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""3-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":105}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",106,"2-0","l","2014-07-24 12:35:42","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""3-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":106}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",107,"2-0","l","2014-07-24 12:35:46","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""4-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":107}",1
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",108,"2-0","l","2014-07-24 12:35:46","{""type"":""link"",""userId"":""user@i1hYpFrzIW"",""comment"":{""userId"":""user@i1hYpFrzIW"",""text"":""3-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user C"",""userColor"":""#FF3300"",""current-population"":4,""gMO"":108}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",109,"2-0","l","2014-07-24 12:35:48","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""4-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":109}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",110,"2-0","l","2014-07-24 12:35:49","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""4-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":110}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",111,"2-0","l","2014-07-24 12:35:50","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""3-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":111}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",112,"2-0","l","2014-07-24 12:35:50","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""4-3""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":112}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",113,"2-0","l","2014-07-24 12:35:51","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""4-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":113}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",114,"2-0","l","2014-07-24 12:35:52","{""type"":""comment"",""userId"":""user@Hu0AYDBrqR"",""comment"":{""userId"":""user@Hu0AYDBrqR"",""text"":""hi  trying to do this the right way""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user D"",""userColor"":""#9999FF"",""current-population"":4,""gMO"":114}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",115,"2-0","l","2014-07-24 12:35:52","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""4-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":115}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",116,"2-0","l","2014-07-24 12:35:55","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""4-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":116}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",117,"2-0","l","2014-07-24 12:36:01","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""5-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":117}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",118,"2-0","l","2014-07-24 12:36:02","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""5-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":118}",1
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",119,"2-0","l","2014-07-24 12:36:02","{""type"":""comment"",""userId"":""user@i1hYpFrzIW"",""comment"":{""userId"":""user@i1hYpFrzIW"",""text"":""I don't think we need to highlight every sentence...""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user C"",""userColor"":""#FF3300"",""current-population"":4,""gMO"":119}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",120,"2-0","l","2014-07-24 12:36:03","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""5-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":120}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",121,"2-0","l","2014-07-24 12:36:04","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""5-3""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":121}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",122,"2-0","l","2014-07-24 12:36:04","{""type"":""link"",""userId"":""user@Hu0AYDBrqR"",""comment"":{""userId"":""user@Hu0AYDBrqR"",""text"":""0-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user D"",""userColor"":""#9999FF"",""current-population"":4,""gMO"":122}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",123,"2-0","l","2014-07-24 12:36:05","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""5-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":123}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",124,"2-0","l","2014-07-24 12:36:08","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":124}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",125,"2-0","l","2014-07-24 12:36:09","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":125}",1
